Ticker,Price,2025-10-03,2025-10-06,2025-10-07
GOOG,Open,245.22999572753906,245.77999877929688,248.92999267578125
GOOG,High,247.1179962158203,252.1999969482422,251.5500030517578
GOOG,Low,242.47000122070312,245.69000244140625,246.80999755859375
GOOG,Close,246.4499969482422,251.50999450683594,247.1300048828125
GOOG,Volume,19941400.0,18309000.0,13811200.0
NFLX,Open,1165.0,1160.3699951171875,1177.7900390625
NFLX,High,1168.0,1163.5799560546875,1201.3699951171875
NFLX,Low,1143.219970703125,1145.449951171875,1177.4599609375
NFLX,Close,1153.3199462890625,1163.31005859375,1191.06005859375
NFLX,Volume,3137400.0,2968600.0,3309100.0
AAPL,Open,254.6699981689453,257.989990234375,256.80999755859375
AAPL,High,259.239990234375,259.07000732421875,257.3999938964844
AAPL,Low,253.9499969482422,255.0500030517578,255.42999267578125
AAPL,Close,258.0199890136719,256.69000244140625,256.4800109863281
AAPL,Volume,49155600.0,44664100.0,31955800.0
AMZN,Open,223.44000244140625,221.0,220.8800048828125
AMZN,High,224.1999969482422,221.72999572753906,222.88999938964844
AMZN,Low,219.33999633789062,216.02999877929688,220.1699981689453
AMZN,Close,219.50999450683594,220.89999389648438,221.77999877929688
AMZN,Volume,43639000.0,43690900.0,31194700.0
META,Open,729.6300048828125,705.1900024414062,717.719970703125
META,High,731.0,716.8800048828125,718.5
META,Low,710.1799926757812,690.510009765625,705.75
META,Close,710.5599975585938,715.6599731445312,713.0800170898438
META,Volume,16154300.0,21654700.0,12062900.0
