2025-10-03,2025-10-06,2025-10-07
223.44000244140625,221.0,220.8800048828125
224.1999969482422,221.72999572753906,222.88999938964844
219.33999633789062,216.02999877929688,220.1699981689453
219.50999450683594,220.89999389648438,221.77999877929688
43639000.0,43690900.0,31194700.0
245.22999572753906,245.77999877929688,248.92999267578125
247.1179962158203,252.1999969482422,251.5500030517578
242.47000122070312,245.69000244140625,246.80999755859375
246.4499969482422,251.50999450683594,247.1300048828125
19941400.0,18309000.0,13811200.0
254.6699981689453,257.989990234375,256.80999755859375
259.239990234375,259.07000732421875,257.3999938964844
253.9499969482422,255.0500030517578,255.42999267578125
258.0199890136719,256.69000244140625,256.4800109863281
49155600.0,44664100.0,31955800.0
1165.0,1160.3699951171875,1177.7900390625
1168.0,1163.5799560546875,1201.3699951171875
1143.219970703125,1145.449951171875,1177.4599609375
1153.3199462890625,1163.31005859375,1191.06005859375
3137400.0,2968600.0,3309100.0
729.6300048828125,705.1900024414062,717.719970703125
731.0,716.8800048828125,718.5
710.1799926757812,690.510009765625,705.75
710.5599975585938,715.6599731445312,713.0800170898438
16154300.0,21654700.0,12062900.0
